Código da Conta,Descrição da Conta,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-31 00:00:00,2012-03-31 00:00:00,2012-06-30 00:00:00,2012-09-30 00:00:00,2012-12-31 00:00:00,2013-03-31 00:00:00,2013-06-30 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-06-30 00:00:00,2018-09-30 00:00:00,2018-12-31 00:00:00,2019-03-31 00:00:00,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00
1,Ativo Total,6417038.0,7343910.0,7365112.0,7511164.0,7424388.0,7979509.0,8695827.0,9105861.0,8824120.0,9109705.0,8757033.0,8873550.0,9496435.0,9542922.0,9552065.0,10141293.0,9898693.0,10362672.0,10902810.0,11782630.0,12951305.0,13121290.0,14289917.0,14261541.0,13458854.0,13048678.0,13634825.0,13481407.0,13446033.0,14181424.0,13964453.0,13981142.0,14522184.0,15464046.0,16274130.0,15399850.0,15226982.0,14907806.0,15479421.0,15687641.0,17371333.0,18007781.0,19048875.0,19927896.0,21161200.0,21411835.0,22500301.0,23932787.0,24169250.0,25882424.0,27697485.0,28134660.0,28920083.0,29101227.0,30075811.0,31496270.0,31981696.0,37439486.0,36315645.0,41489701.0,39323514.0
1.01,Ativo Circulante,3803788.0,4591996.0,4628280.0,4794009.0,4731859.0,5069586.0,5742007.0,5867061.0,5478846.0,6020120.0,5657018.0,5710017.0,6310741.0,6339494.0,6306860.0,6851281.0,6602879.0,6886608.0,7285224.0,8063213.0,9046596.0,9029165.0,9679358.0,9589344.0,8713628.0,8648557.0,9182023.0,9127483.0,9094229.0,9682775.0,9462943.0,9415667.0,9569643.0,9968378.0,10075121.0,9438581.0,9089843.0,8803475.0,9649841.0,9760902.0,10600706.0,10827449.0,11581761.0,12556143.0,13360912.0,13990900.0,14743151.0,15945946.0,16424181.0,17566996.0,19548424.0,19653210.0,20149777.0,20237039.0,20745864.0,21562311.0,21484977.0,25019368.0,23752129.0,27221359.0,25120512.0
1.01.01,Caixa e Equivalentes de Caixa,79936.0,86583.0,59937.0,2552996.0,2487136.0,2674637.0,3086568.0,2931615.0,2563889.0,2626935.0,2268231.0,2302256.0,3013804.0,3034080.0,2937836.0,3372130.0,3247375.0,3285865.0,3223617.0,3284275.0,3588629.0,3616770.0,3411805.0,3277115.0,2477210.0,2720005.0,3406774.0,3390662.0,3369965.0,3635476.0,3273239.0,3162685.0,3032815.0,2703771.0,1818725.0,2205700.0,1967509.0,1843868.0,2100404.0,1946044.0,1587547.0,1677417.0,2616485.0,3892140.0,3387742.0,3275927.0,2396415.0,2714427.0,2749862.0,2570284.0,3623255.0,4451002.0,5106835.0,4918937.0,5142836.0,6488454.0,5921085.0,6610785.0,5474203.0,7347599.0,4989220.0
1.01.01.01,Caixas e Bancos,0.0,0.0,0.0,53971.0,62127.0,60694.0,104334.0,59512.0,98895.0,101142.0,137844.0,211295.0,127858.0,104640.0,216105.0,248149.0,357468.0,286469.0,256312.0,302346.0,421591.0,374017.0,481447.0,477710.0,323157.0,285846.0,208469.0,223267.0,224780.0,205582.0,200829.0,224249.0,341301.0,343977.0,343406.0,286783.0,416857.0,276410.0,328972.0,396233.0,525386.0,378355.0,386530.0,584332.0,899152.0,515663.0,1050993.0,529822.0,849091.0,568121.0,1377869.0,710905.0,1479655.0,893996.0,912599.0,1308781.0,1575356.0,1917421.0,1349337.0,1900225.0,2078532.0
1.01.01.02,Aplicações Financeiras,0.0,0.0,0.0,2499025.0,2425009.0,2613943.0,2982234.0,2872103.0,2464994.0,2525793.0,2130387.0,2090961.0,2885946.0,2929440.0,2721731.0,3123981.0,2889907.0,2999396.0,2967305.0,2981929.0,3167038.0,3242753.0,2930358.0,2799405.0,2154053.0,2434159.0,3198305.0,3167395.0,3145185.0,3429894.0,3072410.0,2938436.0,2691514.0,2359794.0,1475319.0,1918917.0,1550652.0,1567458.0,1771432.0,1549811.0,1062161.0,1299062.0,2229955.0,3307808.0,2488590.0,2760264.0,1345422.0,2184605.0,1900771.0,2002163.0,2245386.0,3740097.0,3627180.0,4024941.0,4230237.0,5179673.0,4345729.0,4693364.0,4124866.0,5447374.0,2910688.0
1.01.02,Aplicações Financeiras,1882602.0,2376948.0,2339836.0,0.0,0.0,0.0,0.0,0.0,0.0,251540.0,256634.0,261244.0,265714.0,0.0,0.0,0.0,0.0,76570.0,228431.0,865162.0,883585.0,938866.0,877157.0,1157644.0,1263978.0,1306954.0,1329059.0,1373287.0,1423320.0,1434584.0,1484343.0,1411046.0,1454614.0,1553425.0,2119155.0,1324188.0,925042.0,938886.0,1335683.0,1444227.0,1311648.0,1172419.0,981085.0,592794.0,484369.0,546300.0,545946.0,502708.0,514897.0,502166.0,519672.0,531826.0,548491.0,561522.0,580474.0,592770.0,609111.0,619979.0,636800.0,648477.0,668454.0
1.01.03,Contas a Receber,864517.0,960353.0,1026652.0,1044712.0,1026094.0,1095847.0,1162056.0,1307692.0,1263963.0,1350250.0,1411747.0,1472839.0,1347331.0,1554042.0,1562243.0,1658806.0,1576829.0,1637568.0,1747503.0,1867864.0,2054676.0,2050968.0,2576676.0,2545927.0,2490042.0,2421573.0,2267128.0,2251922.0,2140661.0,2239477.0,2233281.0,2242613.0,2265744.0,2589700.0,2564768.0,2440844.0,2429474.0,2474176.0,2488671.0,2747084.0,3241121.0,3385942.0,3564454.0,3417251.0,3835893.0,3660880.0,4349461.0,4317393.0,4430633.0,5166658.0,5589806.0,5614423.0,5602395.0,5936243.0,6011821.0,6070556.0,6374256.0,7210277.0,6820230.0,7394411.0,7227394.0
1.01.03.01,Clientes,864517.0,960353.0,1026652.0,1044712.0,1026094.0,1095847.0,1162056.0,1307692.0,1263963.0,1350250.0,1411747.0,1472839.0,1347331.0,1554042.0,1562243.0,1658806.0,1576829.0,1637568.0,1747503.0,1867864.0,2054676.0,2050968.0,2576676.0,2545927.0,2490042.0,2421573.0,2267128.0,2251922.0,2140661.0,2239477.0,2233281.0,2242613.0,2265744.0,2589700.0,2564768.0,2440844.0,2429474.0,2474176.0,2488671.0,2747084.0,3241121.0,3385942.0,3564454.0,3417251.0,3835893.0,3660880.0,4349461.0,4317393.0,4430633.0,5166658.0,5589806.0,5614423.0,5602395.0,5936243.0,6011821.0,6070556.0,6374256.0,7210277.0,6820230.0,7394411.0,7227394.0
1.01.04,Estoques,812461.0,971196.0,1015175.0,1008952.0,1019551.0,1086034.0,1269623.0,1362314.0,1371264.0,1459793.0,1389619.0,1306273.0,1316606.0,1368012.0,1467641.0,1445927.0,1461766.0,1541091.0,1672573.0,1704919.0,1909593.0,1954542.0,2248834.0,2009254.0,1868740.0,1644214.0,1647138.0,1575055.0,1594669.0,1754780.0,1836737.0,1852266.0,2014530.0,2328357.0,2518626.0,2458410.0,2498116.0,2583387.0,2901751.0,2817129.0,3552515.0,3727943.0,3586598.0,3737529.0,4376561.0,4846993.0,5619084.0,6497048.0,7018367.0,7659131.0,7963761.0,7644361.0,7450430.0,7466742.0,7662245.0,7116286.0,7215175.0,8845836.0,9108988.0,9903951.0,10220722.0
1.01.06,Tributos a Recuperar,93072.0,98244.0,104423.0,107182.0,118144.0,127932.0,139791.0,156076.0,166464.0,195200.0,188416.0,183627.0,158070.0,170070.0,166574.0,166384.0,148947.0,153858.0,149674.0,159446.0,189977.0,214644.0,234592.0,266944.0,276560.0,276319.0,264717.0,269626.0,280273.0,342081.0,367578.0,419845.0,490067.0,442556.0,453081.0,421938.0,490132.0,527774.0,462029.0,394839.0,485623.0,434018.0,353672.0,339283.0,512198.0,839761.0,889663.0,890290.0,807979.0,838898.0,1012543.0,657580.0,623316.0,596255.0,639888.0,541102.0,597301.0,753887.0,720792.0,817414.0,1085194.0
1.01.06.01,Tributos Correntes a Recuperar,93072.0,98244.0,104423.0,107182.0,118144.0,127932.0,139791.0,156076.0,166464.0,195200.0,188416.0,183627.0,158070.0,170070.0,166574.0,166384.0,148947.0,153858.0,149674.0,159446.0,189977.0,214644.0,234592.0,266944.0,276560.0,276319.0,264717.0,269626.0,280273.0,342081.0,367578.0,419845.0,490067.0,442556.0,453081.0,421938.0,490132.0,527774.0,462029.0,394839.0,485623.0,434018.0,353672.0,339283.0,512198.0,839761.0,889663.0,890290.0,807979.0,838898.0,1012543.0,657580.0,623316.0,596255.0,639888.0,541102.0,597301.0,753887.0,720792.0,817414.0,1085194.0
1.01.06.01.01,Imposto de Renda/Contribuição Social a Recuperar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89679.0,109211.0,135950.0,111646.0,104876.0,129373.0,133441.0,165760.0,120818.0,172783.0,197020.0,149642.0,131878.0,244569.0
1.01.06.01.02,Outros Tributos a Recuperar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800611.0,698768.0,702948.0,900897.0,552704.0,493943.0,462814.0,474128.0,420284.0,424518.0,556867.0,571150.0,685536.0,840625.0
1.01.08,Outros Ativos Circulantes,71200.0,98672.0,82257.0,80167.0,80934.0,85136.0,83969.0,109364.0,113266.0,136402.0,142371.0,183778.0,209216.0,213290.0,172566.0,208034.0,167962.0,191656.0,263426.0,181547.0,420136.0,253375.0,330294.0,332460.0,337098.0,279492.0,267207.0,266931.0,285341.0,276377.0,267765.0,327212.0,311873.0,350569.0,600766.0,587501.0,779570.0,435384.0,361303.0,411579.0,422252.0,429710.0,479467.0,577146.0,764149.0,821039.0,942582.0,1024080.0,902443.0,829859.0,839387.0,754018.0,818310.0,757340.0,708600.0,753143.0,768049.0,978604.0,991116.0,1109507.0,929528.0
1.01.08.03,Outros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208034.0,0.0,0.0,0.0,181547.0,420136.0,253375.0,330294.0,332460.0,337098.0,279492.0,267207.0,266931.0,285341.0,276377.0,267765.0,327212.0,311873.0,350569.0,600766.0,587501.0,779570.0,435384.0,361303.0,411579.0,422252.0,429710.0,479467.0,577146.0,764149.0,821039.0,942582.0,1024080.0,902443.0,829859.0,839387.0,754018.0,818310.0,757340.0,708600.0,753143.0,768049.0,978604.0,991116.0,1109507.0,929528.0
