Código da Conta,Descrição da Conta,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-31 00:00:00,2012-03-31 00:00:00,2012-06-30 00:00:00,2012-09-30 00:00:00,2012-12-31 00:00:00,2013-03-31 00:00:00,2013-06-30 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-06-30 00:00:00,2018-09-30 00:00:00,2018-12-31 00:00:00,2019-03-31 00:00:00,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00
3.01,Receita de Venda de Bens e/ou Serviços,931907.0,1013015.0,1188622.0,1258429.0,1126117.0,1277258.0,1317483.0,1468551.0,1369762.0,1528791.0,1613067.0,1662258.0,1477577.0,1699639.0,1758381.0,1893299.0,1783543.0,1821547.0,2055972.0,2179695.0,2130291.0,2349432.0,2546349.0,2734251.0,2416344.0,2335255.0,2238078.0,2377331.0,2134229.0,2280769.0,2435085.0,2673747.0,2551476.0,3056648.0,3237309.0,3124657.0,2932379.0,3286605.0,3349604.0,3778846.0,3714436.0,4063943.0,4801260.0,4889918.0,5076879.0,5748206.0,6198243.0,6540010.0,6828106.0,7185787.0,7911192.0,7979637.0,7696157.0,8171322.0,8074837.0,8561285.0,8033304.0,9274426.0,9856935.0,10822276.0,10078571.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-623294.0,-703203.0,-811395.0,-867129.0,-815455.0,-895821.0,-899217.0,-1022865.0,-977830.0,-1067366.0,-1114536.0,-1133459.0,-1013973.0,-1141643.0,-1159168.0,-1277346.0,-1213122.0,-1244222.0,-1417439.0,-1481477.0,-1491668.0,-1677705.0,-1821547.0,-2003815.0,-1743591.0,-1693587.0,-1619116.0,-1674935.0,-1496877.0,-1599657.0,-1701858.0,-1966991.0,-1827877.0,-2177665.0,-2288304.0,-2206970.0,-2074772.0,-2341339.0,-2344433.0,-2633622.0,-2616903.0,-2831840.0,-3289688.0,-3293619.0,-3457140.0,-4001699.0,-4411429.0,-4732113.0,-4933270.0,-5217781.0,-5493544.0,-5564640.0,-5149094.0,-5416778.0,-5461011.0,-5675854.0,-5362600.0,-6148231.0,-6458216.0,-7204049.0,-6762551.0
3.03,Resultado Bruto,308613.0,309812.0,377227.0,391300.0,310662.0,381437.0,418266.0,445686.0,391932.0,461425.0,498531.0,528799.0,463604.0,557996.0,599213.0,615953.0,570421.0,577325.0,638533.0,698218.0,638623.0,671727.0,724802.0,730436.0,672753.0,641668.0,618962.0,702396.0,637352.0,681112.0,733227.0,706756.0,723599.0,878983.0,949005.0,917687.0,857607.0,945266.0,1005171.0,1145224.0,1097533.0,1232103.0,1511572.0,1596299.0,1619739.0,1746507.0,1786814.0,1807897.0,1894836.0,1968006.0,2417648.0,2414997.0,2547063.0,2754544.0,2613826.0,2885431.0,2670704.0,3126195.0,3398719.0,3618227.0,3316020.0
3.04,Despesas/Receitas Operacionais,-169009.0,-180123.0,-210590.0,-224593.0,-188625.0,-216768.0,-224867.0,-262666.0,-243254.0,-259611.0,-276426.0,-292985.0,-266842.0,-299060.0,-328036.0,-331075.0,-329583.0,-326086.0,-351435.0,-383041.0,-364561.0,-397090.0,-412115.0,-433577.0,-415679.0,-400708.0,-364708.0,-391010.0,-375344.0,-380894.0,-416881.0,-402916.0,-417301.0,-490273.0,-540158.0,-514511.0,-490377.0,-507029.0,-527082.0,-581046.0,-578596.0,-612638.0,-694088.0,-735861.0,-726557.0,-480535.0,-772773.0,-822749.0,-796248.0,-846565.0,-991701.0,-1009386.0,-1008870.0,-1073271.0,-1032657.0,-1223941.0,-1067357.0,-1194905.0,-1385878.0,-1475177.0,-1372633.0
3.04.01,Despesas com Vendas,-93055.0,-100257.0,-121602.0,-119335.0,-116310.0,-123172.0,-129965.0,-141215.0,-142790.0,-155462.0,-157004.0,-166459.0,-157029.0,-174312.0,-186360.0,-198657.0,-196661.0,-191300.0,-205555.0,-226955.0,-206835.0,-236201.0,-245007.0,-262209.0,-242051.0,-233148.0,-222418.0,-227382.0,-204357.0,-214260.0,-238374.0,-237362.0,-242599.0,-284127.0,-312897.0,-299790.0,-290761.0,-296313.0,-309062.0,-357029.0,-349093.0,-356198.0,-395780.0,-405746.0,-434281.0,-443133.0,-457889.0,-497901.0,-493016.0,-506697.0,-562267.0,-602822.0,-568133.0,-606886.0,-597988.0,-653452.0,-624184.0,-702805.0,-776315.0,-884003.0,-840150.0
3.04.01.01,Reversões de créditos de liquidação duvidosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3016.0,700.0,4121.0,718.0,1154.0,1784.0,-601.0,6135.0,-444.0,-1617.0,-14624.0,-1254.0,-8700.0,2356.0,-1344.0,-15208.0,-10335.0
3.04.01.02,Outras Despesas de Vendas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-437297.0,-443833.0,-462010.0,-498619.0,-494170.0,-508481.0,-561666.0,-608957.0,-567689.0,-605269.0,-583364.0,-652198.0,-615484.0,-705161.0,-774971.0,-868795.0,-829815.0
3.04.02,Despesas Gerais e Administrativas,-57861.0,-65075.0,-71111.0,-68677.0,-58199.0,-63777.0,-66033.0,-69716.0,-67133.0,-75462.0,-81075.0,-81628.0,-73273.0,-79701.0,-85576.0,-90313.0,-88703.0,-96418.0,-97548.0,-103443.0,-106341.0,-108028.0,-119326.0,-125258.0,-118924.0,-120947.0,-109558.0,-115954.0,-114031.0,-121671.0,-125875.0,-127104.0,-129450.0,-145026.0,-154625.0,-137530.0,-138504.0,-136587.0,-135468.0,-137848.0,-155685.0,-145995.0,-169122.0,-183667.0,-174928.0,-193870.0,-205711.0,-201498.0,-199747.0,-214447.0,-230720.0,-228021.0,-258622.0,-246668.0,-262164.0,-277434.0,-259970.0,-308248.0,-355930.0,-375273.0,-367263.0
3.04.02.01,Honorários dos Administradores,-3901.0,-4176.0,-3958.0,-5301.0,-3374.0,-3421.0,-3406.0,-3427.0,-3840.0,-3775.0,-3972.0,-4059.0,-4410.0,-4353.0,-4559.0,-4688.0,-4814.0,-4934.0,-4916.0,-5484.0,-5558.0,-5336.0,-5355.0,-5945.0,-5881.0,-5645.0,-5447.0,-5627.0,-5935.0,-5790.0,-5893.0,-6013.0,-6046.0,-6425.0,-6402.0,-6501.0,-6672.0,-6597.0,-6630.0,-6710.0,-6953.0,-6088.0,-6178.0,-6332.0,-6060.0,-6273.0,-6273.0,-6651.0,-7106.0,-5609.0,-4828.0,-4552.0,-5336.0,-5336.0,-5336.0,-5360.0,-5631.0,-5351.0,-5332.0,-5332.0,-5470.0
3.04.02.02,Outras Despesas Administrativas,-53960.0,-60899.0,-67153.0,-63376.0,-54825.0,-60356.0,-62627.0,-66289.0,-63293.0,-71687.0,-77103.0,-77569.0,-68863.0,-75348.0,-81017.0,-85625.0,-83889.0,-91484.0,-92632.0,-97959.0,-100783.0,-102692.0,-113971.0,-119313.0,-113043.0,-115302.0,-104111.0,-110327.0,-108096.0,-115881.0,-119982.0,-121091.0,-123404.0,-138601.0,-148223.0,-131029.0,-131832.0,-129990.0,-128838.0,-131138.0,-148732.0,-139907.0,-162944.0,-177335.0,-168868.0,-187597.0,-199438.0,-194847.0,-192641.0,-208838.0,-225892.0,-223469.0,-253286.0,-241332.0,-256828.0,-272074.0,-254339.0,-302897.0,-350598.0,-369941.0,-361793.0
