Código da Conta,Descrição da Conta,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-31 00:00:00,2012-03-31 00:00:00,2012-06-30 00:00:00,2012-09-30 00:00:00,2012-12-31 00:00:00,2013-03-31 00:00:00,2013-06-30 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-06-30 00:00:00,2018-09-30 00:00:00,2018-12-31 00:00:00,2019-03-31 00:00:00,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-03-31 00:00:00.1,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00
6.01,Caixa Líquido Atividades Operacionais,150487.0,431882.0,420330.0,653442.0,189204.0,356648.0,290813.0,460064.0,273508.0,370796.0,587804.0,1038645.0,334910.0,485966.0,853254.0,1178549.0,403976.0,707999.0,891999.0,1215992.0,255526.0,516692.0,705901.0,982442.0,383339.0,1099754.0,1589249.0,1956574.0,418764.0,623244.0,975205.0,1107446.0,492602.0,556816.0,758713.0,1299655.0,53268.0,406964.0,1075480.0,1907853.0,525737.0,979137.0,2554183.0,3930032.0,404453.0,526893.0,625690.0,1056058.0,264234.0,404452.0,1496212.0,2982930.0,2315342.0,3174294.0,5124747.0,7021823.0,1578370,1578370,3078816,4670283,7252269.0,540543
6.01.01,Caixa Gerado nas Operações,222507.0,439233.0,714706.0,996724.0,228227.0,505398.0,761640.0,1205638.0,267172.0,530431.0,854736.0,1371291.0,337421.0,755187.0,1210396.0,1656597.0,410367.0,833811.0,1322940.0,1860652.0,493021.0,1035447.0,1566026.0,2140082.0,495691.0,968638.0,1508069.0,1915140.0,489162.0,1006822.0,1566294.0,1846807.0,532175.0,1012192.0,1565653.0,2058264.0,445763.0,1041195.0,1706773.0,2495657.0,748825.0,1588165.0,2662655.0,3800156.0,1212713.0,2389345.0,3664968.0,5052412.0,1678778.0,3192487.0,5004378.0,6891708.0,2031939.0,4194320.0,6186948.0,8363730.0,2058343,2058343,4468014,6936003,9562310.0,2707800
6.01.01.01,Lucro antes dos Impostos,158199.0,316031.0,522822.0,729965.0,161883.0,368666.0,554075.0,766126.0,194563.0,382896.0,625627.0,864102.0,221413.0,477866.0,775591.0,1084879.0,269317.0,552905.0,881586.0,1227929.0,315741.0,643850.0,927824.0,1303728.0,317618.0,600389.0,920499.0,1279514.0,290017.0,600180.0,943257.0,1240448.0,334233.0,716472.0,1133800.0,1497542.0,331094.0,764806.0,1227387.0,1804451.0,518185.0,1091486.0,1876990.0,2746649.0,903717.0,2309595.0,3327361.0,4330036.0,1152852.0,2269850.0,3713870.0,5115642.0,1606701.0,3323856.0,4938445.0,6590797.0,1675799,1675799,3632370,5709659,7908508.0,1983490
6.01.01.02,"Depreciação, Amortização e Exaustão",44147.0,88997.0,135920.0,183990.0,47499.0,93239.0,139393.0,188030.0,49573.0,101731.0,154365.0,208337.0,52136.0,105747.0,161504.0,218279.0,58805.0,119066.0,182667.0,250477.0,74298.0,151811.0,234216.0,319358.0,85157.0,170248.0,254047.0,343257.0,68987.0,139345.0,211445.0,283875.0,73412.0,150217.0,230392.0,317023.0,81657.0,193536.0,294520.0,396783.0,100176.0,212934.0,330781.0,451359.0,123670.0,250415.0,380385.0,520178.0,134350.0,269571.0,411728.0,565557.0,150932.0,302757.0,460358.0,628042.0,166533,166533,356057,567815,812485.0,229607
6.01.01.03,Participação nos Resultados dos Colaboradores,20093.0,35409.0,57651.0,84859.0,18845.0,43493.0,68172.0,93354.0,22944.0,45574.0,74384.0,108466.0,28659.0,63665.0,102179.0,142872.0,35425.0,71504.0,114978.0,168138.0,37162.0,85529.0,134181.0,194959.0,44743.0,85867.0,124016.0,168060.0,44221.0,88276.0,143734.0,193361.0,43141.0,95805.0,162898.0,225299.0,50997.0,115471.0,188626.0,282231.0,76749.0,165450.0,281048.0,406706.0,135762.0,320750.0,444619.0,538705.0,146222.0,262085.0,438436.0,569352.0,162899.0,327074.0,487741.0,737547.0,165674,165674,339212,541850,712757.0,178793
6.01.01.04,Despesas com Plano de Opções de Compra de Açoes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,92.0,230.0,360.0,519.0,158.0,246.0,551.0,567.0,220.0,248.0,675.0,919.0,242.0,426.0,601.0,1215.0,339.0,730.0,1110.0,1469.0,782.0,1706.0,2598.0,3464.0,1250.0,2801.0,4329.0,6067.0,2174.0,3684.0,5316.0,6940.0,3367.0,5644.0,7873.0,12118.0,4424.0,6463.0,8846.0,10712.0,5055.0,8382.0,8175.0,12035.0,4506.0,6875.0,8405.0,10908.0,21099,21099,18053,21967,25618.0,4397
6.01.01.05,Provisão para risco de crédito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-185.0,0.0,0.0,0.0,5044.0,106.0,2087.0,1593.0,9783.0,2639.0,2955.0,4784.0,11723.0,3265.0,7787.0,18489.0,16203.0,-10485.0,-11531.0,-7353.0,-5896.0,-2114.0,-2446.0,-3411.0,-6031.0,8254.0,2311.0,5834.0,6824.0,1260.0,5212.0,5251.0,2722.0,10961.0,17668.0,16072.0,8064.0,-3221.0,-8349.0,-11409.0,-21684.0,-1584.0,-6270.0,-2337.0,-8472.0,444.0,2060.0,16685.0,17939.0,8700,8700,6344,7688,22896.0,10335
6.01.01.06,"Provisão de passivos tributários, cíveis e trabalhistas",0.0,0.0,0.0,0.0,0.0,0.0,0.0,12054.0,0.0,0.0,0.0,36297.0,-3344.0,19539.0,38755.0,28721.0,4431.0,7730.0,9503.0,23515.0,13306.0,33612.0,70664.0,81119.0,12622.0,35965.0,64704.0,94434.0,25768.0,53727.0,68561.0,72559.0,21220.0,34680.0,51375.0,40676.0,7368.0,-5437.0,12496.0,3941.0,-8241.0,-2696.0,22414.0,61127.0,4447.0,753.0,8371.0,30466.0,14196.0,17465.0,38078.0,72362.0,36432.0,78747.0,98885.0,154489.0,-7023,-7023,-28214,-43679,-101022.0,477
6.01.01.07,Provisão para perdas nos estoques,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6075.0,0.0,0.0,0.0,958.0,147.0,2983.0,3049.0,6394.0,1527.0,245.0,5184.0,5537.0,7640.0,19586.0,39431.0,48884.0,-710.0,-5547.0,-2208.0,-7571.0,2056.0,9603.0,11627.0,14867.0,12874.0,17882.0,22328.0,15344.0,-820.0,6653.0,3872.0,3803.0,25239.0,49374.0,62575.0,54031.0,11861.0,-11128.0,-11743.0,-13078.0,11571.0,22862.0,32590.0,31520.0,9938.0,21471.0,42917.0,41357.0,26955,26955,33862,36169,31194.0,25069
6.01.01.08,Provisão com garantia de produtos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13017.0,0.0,0.0,0.0,2489.0,992.0,5528.0,9248.0,11486.0,-467.0,5021.0,12998.0,23577.0,3475.0,14590.0,23822.0,19187.0,2842.0,8445.0,14736.0,21011.0,6987.0,10352.0,29494.0,15233.0,5888.0,17745.0,29468.0,37441.0,-13172.0,-9825.0,2517.0,12806.0,34177.0,58408.0,75571.0,83257.0,22111.0,9353.0,17793.0,7813.0,32787.0,53304.0,82605.0,108947.0,15726.0,26914.0,46933.0,87732.0,22561,22561,51472,80103,114027.0,33534
