Código da Conta,Descrição da Conta,data,valor
3.01,Receita de Venda de Bens e/ou Serviços,2010-03-31 00:00:00,931907.0
3.01,Receita de Venda de Bens e/ou Serviços,2010-06-30 00:00:00,1013015.0
3.01,Receita de Venda de Bens e/ou Serviços,2010-09-30 00:00:00,1188622.0
3.01,Receita de Venda de Bens e/ou Serviços,2010-12-31 00:00:00,1258429.0
3.01,Receita de Venda de Bens e/ou Serviços,2011-03-31 00:00:00,1126117.0
3.01,Receita de Venda de Bens e/ou Serviços,2011-06-30 00:00:00,1277258.0
3.01,Receita de Venda de Bens e/ou Serviços,2011-09-30 00:00:00,1317483.0
3.01,Receita de Venda de Bens e/ou Serviços,2011-12-31 00:00:00,1468551.0
3.01,Receita de Venda de Bens e/ou Serviços,2012-03-31 00:00:00,1369762.0
3.01,Receita de Venda de Bens e/ou Serviços,2012-06-30 00:00:00,1528791.0
3.01,Receita de Venda de Bens e/ou Serviços,2012-09-30 00:00:00,1613067.0
3.01,Receita de Venda de Bens e/ou Serviços,2012-12-31 00:00:00,1662258.0
3.01,Receita de Venda de Bens e/ou Serviços,2013-03-31 00:00:00,1477577.0
3.01,Receita de Venda de Bens e/ou Serviços,2013-06-30 00:00:00,1699639.0
3.01,Receita de Venda de Bens e/ou Serviços,2013-09-30 00:00:00,1758381.0
3.01,Receita de Venda de Bens e/ou Serviços,2013-12-31 00:00:00,1893299.0
3.01,Receita de Venda de Bens e/ou Serviços,2014-03-31 00:00:00,1783543.0
3.01,Receita de Venda de Bens e/ou Serviços,2014-06-30 00:00:00,1821547.0
3.01,Receita de Venda de Bens e/ou Serviços,2014-09-30 00:00:00,2055972.0
3.01,Receita de Venda de Bens e/ou Serviços,2014-12-31 00:00:00,2179695.0
3.01,Receita de Venda de Bens e/ou Serviços,2015-03-31 00:00:00,2130291.0
3.01,Receita de Venda de Bens e/ou Serviços,2015-06-30 00:00:00,2349432.0
3.01,Receita de Venda de Bens e/ou Serviços,2015-09-30 00:00:00,2546349.0
3.01,Receita de Venda de Bens e/ou Serviços,2015-12-31 00:00:00,2734251.0
3.01,Receita de Venda de Bens e/ou Serviços,2016-03-31 00:00:00,2416344.0
3.01,Receita de Venda de Bens e/ou Serviços,2016-06-30 00:00:00,2335255.0
3.01,Receita de Venda de Bens e/ou Serviços,2016-09-30 00:00:00,2238078.0
3.01,Receita de Venda de Bens e/ou Serviços,2016-12-31 00:00:00,2377331.0
3.01,Receita de Venda de Bens e/ou Serviços,2017-03-31 00:00:00,2134229.0
3.01,Receita de Venda de Bens e/ou Serviços,2017-06-30 00:00:00,2280769.0
3.01,Receita de Venda de Bens e/ou Serviços,2017-09-30 00:00:00,2435085.0
3.01,Receita de Venda de Bens e/ou Serviços,2017-12-31 00:00:00,2673747.0
3.01,Receita de Venda de Bens e/ou Serviços,2018-03-31 00:00:00,2551476.0
3.01,Receita de Venda de Bens e/ou Serviços,2018-06-30 00:00:00,3056648.0
3.01,Receita de Venda de Bens e/ou Serviços,2018-09-30 00:00:00,3237309.0
3.01,Receita de Venda de Bens e/ou Serviços,2018-12-31 00:00:00,3124657.0
3.01,Receita de Venda de Bens e/ou Serviços,2019-03-31 00:00:00,2932379.0
3.01,Receita de Venda de Bens e/ou Serviços,2019-06-30 00:00:00,3286605.0
3.01,Receita de Venda de Bens e/ou Serviços,2019-09-30 00:00:00,3349604.0
3.01,Receita de Venda de Bens e/ou Serviços,2019-12-31 00:00:00,3778846.0
3.01,Receita de Venda de Bens e/ou Serviços,2020-03-31 00:00:00,3714436.0
3.01,Receita de Venda de Bens e/ou Serviços,2020-06-30 00:00:00,4063943.0
3.01,Receita de Venda de Bens e/ou Serviços,2020-09-30 00:00:00,4801260.0
3.01,Receita de Venda de Bens e/ou Serviços,2020-12-31 00:00:00,4889918.0
3.01,Receita de Venda de Bens e/ou Serviços,2021-03-31 00:00:00,5076879.0
3.01,Receita de Venda de Bens e/ou Serviços,2021-06-30 00:00:00,5748206.0
3.01,Receita de Venda de Bens e/ou Serviços,2021-09-30 00:00:00,6198243.0
3.01,Receita de Venda de Bens e/ou Serviços,2021-12-31 00:00:00,6540010.0
