CODIGO DA CONTA,DESCRICAO DA CONTA,DATA,VALOR
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2010-03-31 00:00:00,150487.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2010-06-30 00:00:00,431882.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2010-09-30 00:00:00,420330.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2010-12-31 00:00:00,653442.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2011-03-31 00:00:00,189204.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2011-06-30 00:00:00,356648.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2011-09-30 00:00:00,290813.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2011-12-31 00:00:00,460064.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2012-03-31 00:00:00,273508.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2012-06-30 00:00:00,370796.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2012-09-30 00:00:00,587804.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2012-12-31 00:00:00,1038645.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2013-03-31 00:00:00,334910.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2013-06-30 00:00:00,485966.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2013-09-30 00:00:00,853254.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2013-12-31 00:00:00,1178549.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2014-03-31 00:00:00,403976.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2014-06-30 00:00:00,707999.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2014-09-30 00:00:00,891999.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2014-12-31 00:00:00,1215992.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2015-03-31 00:00:00,255526.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2015-06-30 00:00:00,516692.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2015-09-30 00:00:00,705901.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2015-12-31 00:00:00,982442.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2016-03-31 00:00:00,383339.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2016-06-30 00:00:00,1099754.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2016-09-30 00:00:00,1589249.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2016-12-31 00:00:00,1956574.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2017-03-31 00:00:00,418764.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2017-06-30 00:00:00,623244.0
